# ns-api geofeed (RFC 8805)
# generated_at: 2026-03-24T17:29:43.919Z
# columns: ip_prefix,alpha2code,region,city,postal_code
# note: postal_code is intentionally left blank
204.8.8.0/25,US,US-IN,Greenfield,
204.8.9.184/29,US,US-IN,Knightstown,
208.88.248.160/30,US,US-IN,Greenfield,
204.8.13.128/30,US,US-IN,Greenfield,
204.8.9.96/27,US,US-IN,Greenfield,
208.70.47.120/29,US,US-IN,Greenfield,
208.88.254.220/30,US,US-IN,Greenfield,
204.8.10.44/30,US,US-IN,Greenfield,
204.8.10.48/30,US,US-IN,Greenfield,
208.70.45.0/27,US,US-IN,Greenfield,
208.70.45.48/28,US,US-IN,Greenfield,
208.70.45.64/30,US,US-IN,Greenfield,
204.8.13.144/28,US,US-IN,Greenfield,
208.88.255.224/29,US,US-IN,Greenfield,
168.100.180.208/28,US,US-IN,Franklin,
208.70.40.112/28,US,US-IN,Cumberland,
168.100.183.136/29,US,US-IN,Cumberland,
204.8.12.140/30,US,US-IN,Cumberland,
208.88.250.16/29,US,US-IN,Cumberland,
208.88.252.48/28,US,US-IN,New Palestine,
208.88.251.208/29,US,US-IN,New Palestine,
168.100.182.192/28,US,US-IN,Franklin,
168.100.182.240/29,US,US-IN,Franklin,
208.70.42.192/29,US,US-IN,Franklin,
208.70.42.208/29,US,US-IN,Franklin,
208.70.42.216/29,US,US-IN,Franklin,
208.70.42.224/29,US,US-IN,Franklin,
208.70.42.248/29,US,US-IN,Franklin,
208.88.255.212/30,US,US-IN,Franklin,
168.100.182.224/28,US,US-IN,Franklin,
208.70.42.200/29,US,US-IN,Franklin,
208.70.42.240/29,US,US-IN,Franklin,
168.100.180.176/28,US,US-IN,Bargersville,
168.100.183.176/29,US,US-IN,Bargersville,
208.88.248.140/30,US,US-IN,Bargersville,
208.88.255.208/30,US,US-IN,Bargersville,
204.8.12.176/28,US,US-IN,Bargersville,
204.8.12.104/29,US,US-IN,Bargersville,
74.112.114.200/30,US,US-IN,Bargersville,
208.88.255.32/28,US,US-IN,Greenwood,
168.100.182.216/29,US,US-IN,Greenwood,
208.88.248.168/30,US,US-IN,Greenwood,
208.88.251.96/29,US,US-IN,Greenwood,
208.88.255.128/29,US,US-IN,Greenwood,
208.70.40.36/30,US,US-IN,Greenwood,
208.70.42.72/29,US,US-IN,Greenwood,
208.70.44.248/30,US,US-IN,Greenwood,
204.8.12.144/29,US,US-IN,Greenwood,
204.8.9.228/30,US,US-IN,Greenwood,
208.70.40.164/30,US,US-IN,Greenwood,
168.100.180.128/28,US,US-IN,Whiteland,
74.112.112.80/29,US,US-IN,Whiteland,
208.88.251.0/28,US,US-IN,Whiteland,
74.112.114.248/29,US,US-IN,Whiteland,
204.8.13.168/30,US,US-IN,Whiteland,
204.8.14.20/30,US,US-IN,Whiteland,
204.8.12.48/29,US,US-IN,Whiteland,
204.8.8.224/28,US,US-IN,Whiteland,
208.88.254.224/27,US,US-IN,Whiteland,
208.88.253.80/28,US,US-IN,Franklin,
168.100.180.160/28,US,US-IN,Franklin,
208.88.249.108/30,US,US-IN,Franklin,
168.100.181.8/29,US,US-IN,Trafalgar,
168.100.183.160/29,US,US-IN,Greenfield,
168.100.181.128/29,US,US-IN,Franklin,
74.112.114.32/28,US,US-IN,Franklin,
168.100.180.144/28,US,US-IN,Bargersville,
208.88.251.32/29,US,US-IN,Bargersville,
208.88.251.16/28,US,US-IN,Greenwood,
208.88.252.224/28,US,US-IN,Trafalgar,
168.100.180.224/28,US,US-IN,Trafalgar,
168.100.183.224/28,US,US-IN,Bargersville,
168.100.180.192/28,US,US-IN,Bargersville,
208.88.251.40/29,US,US-IN,Bargersville,
168.100.183.208/28,US,US-IN,Franklin,
168.100.180.240/28,US,US-IN,Franklin,
208.88.251.216/29,US,US-IN,Franklin,
208.70.40.172/30,US,US-IN,New Castle,
208.70.40.0/28,US,US-IN,New Castle,
74.112.117.0/27,US,US-IN,New Castle,
204.8.10.112/29,US,US-IN,New Castle,
208.70.47.224/27,US,US-IN,Rushville,
208.70.47.176/29,US,US-IN,New Castle,
208.88.249.116/30,US,US-IN,New Castle,
208.88.249.0/28,US,US-IN,New Castle,
208.88.248.208/28,US,US-IN,New Castle,
208.88.250.32/29,US,US-IN,New Castle,
204.8.13.56/30,US,US-IN,New Castle,
74.112.118.148/30,US,US-IN,New Castle,
208.88.250.64/26,US,US-IN,Knightstown,
208.70.45.72/29,US,US-IN,Rushville,
74.112.116.192/26,US,US-IN,Rushville,
208.88.250.216/29,US,US-IN,Rushville,
208.70.47.112/29,US,US-IN,Rushville,
74.112.112.128/27,US,US-IN,Rushville,
208.88.254.128/27,US,US-IN,Rushville,
168.100.182.16/28,US,US-IN,Rushville,
208.70.40.24/29,US,US-IN,Rushville,
208.88.255.112/30,US,US-IN,Rushville,
208.88.255.184/29,US,US-IN,Rushville,
204.8.10.104/30,US,US-IN,Rushville,
204.8.8.204/30,US,US-IN,Rushville,
208.88.254.216/30,US,US-IN,Rushville,
208.70.47.8/30,US,US-IN,Rushville,
74.112.112.200/29,US,US-IN,Rushville,
208.88.250.196/30,US,US-IN,Rushville,
74.112.118.160/30,US,US-IN,Rushville,
208.88.253.128/29,US,US-IN,Rushville,
74.112.118.164/30,US,US-IN,Rushville,
168.100.181.80/28,US,US-IN,Morristown,
208.70.40.64/30,US,US-IN,Morristown,
74.112.112.120/29,US,US-IN,Morristown,
208.88.249.112/30,US,US-IN,Morristown,
208.70.42.16/28,US,US-IN,Morristown,
208.70.47.160/29,US,US-IN,Morristown,
204.8.11.128/27,US,US-IN,Morristown,
168.100.181.192/29,US,US-IN,Morristown,
208.70.40.96/28,US,US-IN,Morristown,
208.88.252.128/27,US,US-IN,Shelbyville,
208.70.42.32/27,US,US-IN,Shelbyville,
208.88.248.156/30,US,US-IN,Shelbyville,
208.88.250.52/30,US,US-IN,Shelbyville,
208.88.250.232/29,US,US-IN,Shelbyville,
208.88.248.176/30,US,US-IN,Shelbyville,
208.88.250.240/29,US,US-IN,Shelbyville,
208.70.45.80/29,US,US-IN,Shelbyville,
168.100.181.0/29,US,US-IN,Shelbyville,
208.70.44.128/29,US,US-IN,Shelbyville,
208.70.44.96/27,US,US-IN,Shelbyville,
208.88.249.24/30,US,US-IN,Shelbyville,
168.100.183.168/29,US,US-IN,Shelbyville,
168.100.181.16/28,US,US-IN,Shelbyville,
208.88.255.104/29,US,US-IN,Pendleton,
204.8.12.112/28,US,US-IN,Pendleton,
204.8.12.64/27,US,US-IN,Pendleton,
204.8.8.132/30,US,US-IN,Pendleton,
208.88.254.104/29,US,US-IN,Pendleton,
204.8.11.192/27,US,US-IN,Pendleton,
168.100.182.80/28,US,US-IN,Muncie,
168.100.183.144/29,US,US-IN,New Palestine,
204.8.12.128/29,US,US-IN,New Palestine,
208.88.253.0/27,US,US-IN,New Palestine,
168.100.181.144/28,US,US-IN,McCordsville,
204.8.13.48/30,US,US-IN,McCordsville,
168.100.183.200/29,US,US-IN,McCordsville,
204.8.12.32/28,US,US-IN,McCordsville,
208.88.249.20/30,US,US-IN,McCordsville,
208.88.250.176/29,US,US-IN,McCordsville,
168.100.181.48/28,US,US-IN,McCordsville,
208.88.255.48/28,US,US-IN,McCordsville,
208.88.255.152/29,US,US-IN,McCordsville,
208.88.249.160/27,US,US-IN,McCordsville,
74.112.114.196/30,US,US-IN,McCordsville,
168.100.181.200/30,US,US-IN,Franklin,
208.88.249.224/29,US,US-IN,Franklin,
208.88.251.128/26,US,US-IN,Franklin,
204.8.11.240/30,US,US-IN,Franklin,
208.88.250.172/30,US,US-IN,Franklin,
208.88.248.240/28,US,US-IN,Franklin,
204.8.13.248/29,US,US-IN,Franklin,
74.112.114.76/30,US,US-IN,Franklin,
74.112.117.32/27,US,US-IN,Fortville,
168.100.183.96/28,US,US-IN,Knightstown,
208.70.40.168/30,US,US-IN,Knightstown,
204.8.13.96/28,US,US-IN,Knightstown,
204.8.14.24/29,US,US-IN,Knightstown,
204.8.10.0/28,US,US-IN,Knightstown,
208.70.40.160/30,US,US-IN,New Castle,
208.88.248.224/28,US,US-IN,New Castle,
204.8.13.40/30,US,US-IN,Knightstown,
204.8.8.200/30,US,US-IN,Knightstown,
208.88.250.8/30,US,US-IN,Knightstown,
168.100.181.168/29,US,US-IN,Greenfield,
208.88.250.12/30,US,US-IN,Greenfield,
208.70.40.176/28,US,US-IN,Greenfield,
208.88.255.120/29,US,US-IN,Greenfield,
204.8.15.128/25,US,US-IN,Greenfield,
168.100.180.16/28,US,US-IN,Franklin,
64.184.15.0/26,US,US-IN,Franklin,
74.112.119.0/25,US,US-IN,Greenfield,
63.208.139.0/25,US,US-IN,Greenfield,
168.100.180.32/28,US,US-IN,Franklin,
64.184.15.64/26,US,US-IN,Franklin,
2606:5d00:1000:1::/64,US,US-IN,Greenfield,
2606:5d00:f:1::/64,US,US-IN,Greenfield,
2606:5d00:f:b::/64,US,US-IN,Greenfield,
